%time,field.header.seq,field.header.stamp,field.header.frame_id,field.frame_number,field.markers0.marker_name,field.markers0.subject_name,field.markers0.segment_name,field.markers0.translation.x,field.markers0.translation.y,field.markers0.translation.z,field.markers0.occluded,field.markers1.marker_name,field.markers1.subject_name,field.markers1.segment_name,field.markers1.translation.x,field.markers1.translation.y,field.markers1.translation.z,field.markers1.occluded,field.markers2.marker_name,field.markers2.subject_name,field.markers2.segment_name,field.markers2.translation.x,field.markers2.translation.y,field.markers2.translation.z,field.markers2.occluded,field.markers3.marker_name,field.markers3.subject_name,field.markers3.segment_name,field.markers3.translation.x,field.markers3.translation.y,field.markers3.translation.z,field.markers3.occluded,field.markers4.marker_name,field.markers4.subject_name,field.markers4.segment_name,field.markers4.translation.x,field.markers4.translation.y,field.markers4.translation.z,field.markers4.occluded
1436373377351245122,32188,1436373377351245122,,217179,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4628753662,15.0101642609,287.32925415,0
1436373377360118214,32189,1436373377360118214,,217180,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4630661011,15.0143613815,287.324737549,0
1436373377371337741,32190,1436373377371337741,,217181,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4655685425,15.003991127,287.323150635,0
1436373377380538861,32191,1436373377380538861,,217182,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4504165649,15.0111551285,287.314819336,0
1436373377390359572,32192,1436373377390359572,,217183,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4589385986,15.0081386566,287.312835693,0
1436373377400669182,32193,1436373377400669182,,217184,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4648208618,15.0095024109,287.332458496,0
1436373377410678866,32194,1436373377410678866,,217185,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4615936279,15.0090122223,287.317962646,0
1436373377420363237,32195,1436373377420363237,,217186,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.450668335,15.017583847,287.319976807,0
1436373377430220270,32196,1436373377430220270,,217187,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4766464233,15.0139312744,287.321228027,0
1436373377441182335,32197,1436373377441182335,,217188,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.460319519,15.0064735413,287.3203125,0
1436373377451033215,32198,1436373377451033215,,217189,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4631729126,15.0111083984,287.322601318,0
